PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
74,0,61,0,2,1,1,18,0
46,2960,19,2,2,2,1,19,1
87,0,73,0,3,2,1,16,0
37,1500,19,5,4,2,1,18,0
24,0,80,0,2,2,9,15,0
15,0,91,0,4,2,2,16,0
101,5000,20,4,2,1,1,19,10
42,0,58,0,4,1,1,19,0
27,7700,18,5,2,2,1,16,0
105,0,73,0,2,1,1,19,0
90,0,36,0,1,2,1,17,0
7,7200,40,4,3,1,1,16,0
5,0,68,0,3,1,1,1,0
38,1500,18,1,1,1,1,18,0
13,0,60,0,1,1,2,19,0
8,0,89,0,3,2,1,16,0
59,120000,27,1,4,1,1,21,0
32,8000,19,1,2,1,1,19,0
16,0,60,0,1,1,9,12,0
9,6400,69,1,2,1,1,16,0
72,0,79,0,4,2,1,18,0
10,0,65,4,3,1,1,21,0
111,0,35,0,3,1,1,16,0
57,10500,20,4,4,1,2,19,10
45,0,31,0,2,1,2,14,0
29,5000,19,1,4,2,6,19,0
24,0,82,0,1,2,1,16,0
82,8000,24,1,4,1,1,22,0
13,1000,33,1,4,1,1,16,1
10,0,78,0,2,2,1,21,0
42,0,55,4,4,1,2,19,0
22,0,65,0,3,1,1,16,0
